"","Year","State","Sport","Girls Participation","Boys Participation","year_cleaned"
"520","2018/2019","MI","Ultimate Frisbee",40,81,2018
"521","2018/2019","MI","Volleyball",19072,54,2018
"522","2018/2019","MI","Water Polo",623,603,2018
"523","2018/2019","MI","Weight Lifting",753,1453,2018
"524","2018/2019","MI","Wrestling",327,9167,2018
"525","2018/2019","MN","Adapted Bowling",192,342,2018
"526","2018/2019","MN","Adapted Floor Hockey",185,268,2018
"527","2018/2019","MN","Adapted Soccer",137,212,2018
"528","2018/2019","MN","Adapted Base/Softball",191,247,2018
"529","2018/2019","MN","Badminton",621,0,2018
"530","2018/2019","MN","Base/Softball",4,13680,2018
"531","2018/2019","MN","Basketball",12073,13840,2018
"532","2018/2019","MN","Cross Country",9201,7568,2018
"533","2018/2019","MN","Dance Team, High Kick",5072,0,2018
"534","2018/2019","MN","Dance Team, Jazz",5072,0,2018
"535","2018/2019","MN","Golf",4236,5495,2018
"536","2018/2019","MN","Gymnastics",2502,0,2018
"537","2018/2019","MN","Ice/Field Hockey",3726,5740,2018
"538","2018/2019","MN","Lacrosse",4056,3803,2018
"539","2018/2019","MN","Skiing",851,1035,2018
"540","2018/2019","MN","Skiing",2474,2041,2018
"541","2018/2019","MN","Soccer",8371,9561,2018
"542","2018/2019","MN","Base/Softball",13235,0,2018
"543","2018/2019","MN","Swimming & Diving",5795,3711,2018
"544","2018/2019","MN","Synchronized Swimming",455,0,2018
"545","2018/2019","MN","Tennis",6633,5025,2018
"546","2018/2019","MN","Track and Field",16385,16986,2018
"547","2018/2019","MN","Volleyball",16398,0,2018
"548","2018/2019","MN","Wrestling",20,8058,2018
"549","2018/2019","MS","Archery",1310,1450,2018
"550","2018/2019","MS","Basketball",8420,8620,2018
"551","2018/2019","MS","Bowling",555,709,2018
"552","2018/2019","MS","Competitive Spirit* (Boys who cheer/Girls who cheer)",2400,100,2018
"553","2018/2019","MS","Cross Country",1430,1810,2018
"554","2018/2019","MS","Dance",325,0,2018
"555","2018/2019","MS","Dance Team, High Kick",325,0,2018
"556","2018/2019","MS","Dance Team, Jazz",250,0,2018
"557","2018/2019","MS","Golf",455,2290,2018
"558","2018/2019","MS","Soccer",2730,4012,2018
"559","2018/2019","MS","Base/Softball",4940,0,2018
"560","2018/2019","MS","Base/Softball",1350,0,2018
"561","2018/2019","MS","Swimming & Diving",1725,1750,2018
"562","2018/2019","MS","Team Tennis",2276,2276,2018
"563","2018/2019","MS","Tennis",1901,2261,2018
"564","2018/2019","MS","Track and Field",250,265,2018
"565","2018/2019","MS","Track and Field",5600,8325,2018
"566","2018/2019","MS","Volleyball",2810,0,2018
"567","2018/2019","MS","Weight Lifting",1545,4510,2018
"568","2018/2019","MO","Basketball",9732,13752,2018
"569","2018/2019","MO","Bowling",44,45,2018
"570","2018/2019","MO","Cross Country",4221,5863,2018
"571","2018/2019","MO","Ice/Field Hockey",1138,0,2018
"572","2018/2019","MO","Golf",1970,3981,2018
"573","2018/2019","MO","Lacrosse",1719,0,2018
"574","2018/2019","MO","Soccer",8185,8794,2018
"575","2018/2019","MO","Base/Softball",9313,0,2018
"576","2018/2019","MO","Swimming & Diving",3244,1947,2018
"577","2018/2019","MO","Team Tennis",4193,3644,2018
"578","2018/2019","MO","Tennis",4193,3644,2018
"579","2018/2019","MO","Track and Field",12386,15232,2018
"580","2018/2019","MO","Volleyball",10446,1201,2018
"581","2018/2019","MO","Wrestling",956,6458,2018
"582","2018/2019","MT","Adapted Track",8,20,2018
"583","2018/2019","MT","Basketball",2822,3282,2018
"584","2018/2019","MT","Cross Country",1106,1223,2018
"585","2018/2019","MT","Football",6,3476,2018
"586","2018/2019","MT","Football",4,426,2018
"587","2018/2019","MT","Football",1,790,2018
"588","2018/2019","MT","Golf",546,907,2018
"589","2018/2019","MT","Soccer",830,841,2018
"590","2018/2019","MT","Base/Softball",1089,0,2018
"591","2018/2019","MT","Swimming & Diving",363,256,2018
"592","2018/2019","MT","Tennis",976,667,2018
"593","2018/2019","MT","Track and Field",2598,3524,2018
"594","2018/2019","MT","Volleyball",3349,0,2018
"595","2018/2019","MT","Wrestling",40,1380,2018
"596","2018/2019","NE","Adapted Bowling",664,657,2018
"597","2018/2019","NE","Adapted Track",24,16,2018
"598","2018/2019","NE","Base/Softball",2,2500,2018
"599","2018/2019","NE","Basketball",5793,7091,2018
"600","2018/2019","NE","Cross Country",2492,3348,2018
"601","2018/2019","NE","Football",18,8579,2018
"602","2018/2019","NE","Football",29,3122,2018
"603","2018/2019","NE","Golf",1387,2585,2018
"604","2018/2019","NE","Soccer",2523,2847,2018
"605","2018/2019","NE","Base/Softball",2665,0,2018
"606","2018/2019","NE","Swimming & Diving",1107,877,2018
"607","2018/2019","NE","Tennis",1624,1067,2018
"608","2018/2019","NE","Track and Field",7518,8767,2018
"609","2018/2019","NE","Volleyball",6595,0,2018
"610","2018/2019","NE","Wrestling",168,4463,2018
"611","2018/2019","NV","Basketball",2849,3469,2018
"612","2018/2019","NV","Bowling",269,335,2018
"613","2018/2019","NV","Cross Country",779,1195,2018
"614","2018/2019","NV","Flag Football",1881,0,2018
"615","2018/2019","NV","Golf",459,766,2018
"616","2018/2019","NV","Skiing",177,268,2018
"617","2018/2019","NV","Soccer",2567,2661,2018
"618","2018/2019","NV","Base/Softball",2626,0,2018
"619","2018/2019","NV","Swimming & Diving",1418,819,2018
"620","2018/2019","NV","Tennis",785,749,2018
"621","2018/2019","NV","Track and Field",3187,4347,2018
"622","2018/2019","NV","Volleyball",3248,1334,2018
"623","2018/2019","NV","Wrestling",124,1976,2018
"624","2018/2019","NH","Adapted Basketball",481,448,2018
"625","2018/2019","NH","Adapted Soccer",198,170,2018
"626","2018/2019","NH","Adapted Track",182,123,2018
"627","2018/2019","NH","Adapted Volleyball",105,57,2018
"628","2018/2019","NH","Base/Softball",6,2318,2018
"629","2018/2019","NH","Basketball",1816,2456,2018
"630","2018/2019","NH","Bass Fishing",10,193,2018
"631","2018/2019","NH","Bowling",74,175,2018
"632","2018/2019","NH","Cross Country",910,1084,2018
"633","2018/2019","NH","Ice/Field Hockey",1760,1,2018
"634","2018/2019","NH","Football",22,3120,2018
"635","2018/2019","NH","Golf",61,786,2018
"636","2018/2019","NH","Gymnastics",202,0,2018
"637","2018/2019","NH","Ice/Field Hockey",313,993,2018
"638","2018/2019","NH","Lacrosse",1677,1858,2018
"639","2018/2019","NH","Skiing",430,522,2018
"640","2018/2019","NH","Skiing",296,232,2018
"641","2018/2019","NH","Soccer",2605,3006,2018
"642","2018/2019","NH","Base/Softball",1842,0,2018
"643","2018/2019","NH","Swimming & Diving",708,389,2018
"644","2018/2019","NH","Tennis",927,741,2018
"645","2018/2019","NH","Track and Field",1129,1226,2018
"646","2018/2019","NH","Track and Field",2042,2336,2018
"647","2018/2019","NH","Volleyball",1568,332,2018
"648","2018/2019","NH","Wrestling",38,705,2018
"649","2018/2019","NJ","Base/Softball",44,14803,2018
"650","2018/2019","NJ","Basketball",10051,14939,2018
"651","2018/2019","NJ","Bowling",2171,3145,2018
"652","2018/2019","NJ","Cross Country",5863,8491,2018
"653","2018/2019","NJ","Fencing",1128,1374,2018
"654","2018/2019","NJ","Ice/Field Hockey",8648,0,2018
"655","2018/2019","NJ","Football",208,22515,2018
"656","2018/2019","NJ","Golf",1847,3690,2018
"657","2018/2019","NJ","Gymnastics",919,0,2018
"658","2018/2019","NJ","Ice/Field Hockey",395,3631,2018
"659","2018/2019","NJ","Lacrosse",9841,9312,2018
"660","2018/2019","NJ","Skiing",131,1109,2018
"661","2018/2019","NJ","Soccer",14279,19640,2018
"662","2018/2019","NJ","Base/Softball",11881,0,2018
"663","2018/2019","NJ","Swimming & Diving",6385,5281,2018
"664","2018/2019","NJ","Tennis",7072,5948,2018
"665","2018/2019","NJ","Track and Field",10870,12622,2018
"666","2018/2019","NJ","Track and Field",17378,20111,2018
"667","2018/2019","NJ","Unified Track and Field",271,279,2018
"668","2018/2019","NJ","Volleyball",10143,4518,2018
"669","2018/2019","NJ","Wrestling",477,9648,2018
"670","2018/2019","NM","Base/Softball",33,3070,2018
"671","2018/2019","NM","Basketball",3478,3902,2018
"672","2018/2019","NM","Bowling",266,266,2018
"673","2018/2019","NM","Competitive Spirit* (Boys who cheer/Girls who cheer)",1804,117,2018
"674","2018/2019","NM","Cross Country",1268,1552,2018
"675","2018/2019","NM","Dance/Drill",585,26,2018
"676","2018/2019","NM","Football",76,6061,2018
"677","2018/2019","NM","Football",1,139,2018
"678","2018/2019","NM","Football",4,281,2018
"679","2018/2019","NM","Golf",455,645,2018
"680","2018/2019","NM","Rodeo",42,43,2018
"681","2018/2019","NM","Soccer",2196,2451,2018
"682","2018/2019","NM","Base/Softball",2476,5,2018
"683","2018/2019","NM","Swimming & Diving",724,594,2018
"684","2018/2019","NM","Tennis",765,713,2018
"685","2018/2019","NM","Track and Field",3393,4062,2018
"686","2018/2019","NM","Volleyball",3904,15,2018
"687","2018/2019","NM","Wrestling",154,1629,2018
"688","2018/2019","NY","Badminton",1555,567,2018
"689","2018/2019","NY","Base/Softball",11,18587,2018
"690","2018/2019","NY","Basketball",15500,19772,2018
"691","2018/2019","NY","Bowling",3223,4106,2018
"692","2018/2019","NY","Competitive Spirit* (Boys who cheer/Girls who cheer)",14194,144,2018
"693","2018/2019","NY","Cross Country",7627,9927,2018
"694","2018/2019","NY","Fencing",585,568,2018
"695","2018/2019","NY","Ice/Field Hockey",6992,0,2018
"696","2018/2019","NY","Football",98,27652,2018
"697","2018/2019","NY","Football",7,685,2018
"698","2018/2019","NY","Golf",2457,6583,2018
"699","2018/2019","NY","Gymnastics",1346,42,2018
"700","2018/2019","NY","Ice/Field Hockey",564,3010,2018
"701","2018/2019","NY","Lacrosse",11964,14172,2018
"702","2018/2019","NY","Riflery",128,250,2018
"703","2018/2019","NY","Skiing",631,710,2018
"704","2018/2019","NY","Skiing",304,305,2018
"705","2018/2019","NY","Soccer",21081,22891,2018
"706","2018/2019","NY","Base/Softball",15747,0,2018
"707","2018/2019","NY","Swimming & Diving",7188,5813,2018
"708","2018/2019","NY","Tennis",8788,8536,2018
"709","2018/2019","NY","Track and Field",13756,14032,2018
"710","2018/2019","NY","Track and Field",22514,23984,2018
"711","2018/2019","NY","Volleyball",15333,3985,2018
"712","2018/2019","NY","Wrestling",168,11184,2018
"713","2018/2019","NC","Basketball",7649,11152,2018
"714","2018/2019","NC","Competitive Spirit* (Boys who cheer/Girls who cheer)",19360,0,2018
"715","2018/2019","NC","Cross Country",5063,6268,2018
"716","2018/2019","NC","Golf",1405,2828,2018
"717","2018/2019","NC","Lacrosse",2533,4019,2018
"718","2018/2019","NC","Soccer",10206,12417,2018
"719","2018/2019","NC","Base/Softball",7491,0,2018
"720","2018/2019","NC","Swimming & Diving",5087,3990,2018
"721","2018/2019","NC","Tennis",4251,3938,2018
"722","2018/2019","NC","Track and Field",4958,6207,2018
"723","2018/2019","NC","Track and Field",10096,14353,2018
"724","2018/2019","NC","Volleyball",9442,0,2018
"725","2018/2019","ND","Base/Softball",2,1601,2018
"726","2018/2019","ND","Basketball",2152,2914,2018
"727","2018/2019","ND","Cross Country",589,774,2018
"728","2018/2019","ND","Football",15,2903,2018
"729","2018/2019","ND","Football",11,1149,2018
"730","2018/2019","ND","Golf",476,895,2018
"731","2018/2019","ND","Gymnastics",104,0,2018
"732","2018/2019","ND","Ice/Field Hockey",245,616,2018
"733","2018/2019","ND","Soccer",650,662,2018
"734","2018/2019","ND","Base/Softball",1091,0,2018
"735","2018/2019","ND","Swimming & Diving",387,297,2018
"736","2018/2019","ND","Tennis",515,303,2018
"737","2018/2019","ND","Track and Field",2194,2562,2018
"738","2018/2019","ND","Volleyball",3189,0,2018
"739","2018/2019","ND","Wrestling",27,889,2018
"740","2018/2019","OH","Adapted Bowling",8,8,2018
"741","2018/2019","OH","Adapted Soccer",47,47,2018
"742","2018/2019","OH","Adapted Base/Softball",172,96,2018
"743","2018/2019","OH","Archery",345,393,2018
"744","2018/2019","OH","Basketball",14878,22787,2018
"745","2018/2019","OH","Bowling",4151,5545,2018
"746","2018/2019","OH","Competitive Spirit* (Boys who cheer/Girls who cheer)",5380,628,2018
"747","2018/2019","OH","Crew",378,378,2018
"748","2018/2019","OH","Cross Country",10666,12912,2018
"749","2018/2019","OH","Dance",2113,0,2018
"750","2018/2019","OH","Equestrian",26,26,2018
"751","2018/2019","OH","Fencing",29,29,2018
"752","2018/2019","OH","Ice/Field Hockey",1389,0,2018
"753","2018/2019","OH","Flag Football",1,365,2018
"754","2018/2019","OH","Football",45,39794,2018
"755","2018/2019","OH","Golf",3821,7496,2018
"756","2018/2019","OH","Gymnastics",1795,15,2018
"757","2018/2019","OH","Ice/Field Hockey",64,1902,2018
"758","2018/2019","OH","Lacrosse",4287,6695,2018
"759","2018/2019","OH","Riflery",9,9,2018
"760","2018/2019","OH","Skiing",29,29,2018
"761","2018/2019","OH","Skiing",4,4,2018
"762","2018/2019","OH","Snowboarding",20,20,2018
"763","2018/2019","OH","Soccer",16578,17255,2018
"764","2018/2019","OH","Base/Softball",16994,0,2018
"765","2018/2019","OH","Swimming & Diving",6688,5289,2018
"766","2018/2019","OH","Tennis",6659,5972,2018
"767","2018/2019","OH","Track and Field",3222,3164,2018
"768","2018/2019","OH","Track and Field",24011,27689,2018
"769","2018/2019","OH","Ultimate Frisbee",91,91,2018
"770","2018/2019","OH","Volleyball",16754,3231,2018
"771","2018/2019","OH","Water Polo",354,207,2018
"772","2018/2019","OH","Weight Lifting",1066,1633,2018
"773","2018/2019","OK","Base/Softball",11,8361,2018
"774","2018/2019","OK","Basketball",7079,9346,2018
"775","2018/2019","OK","Competitive Spirit* (Boys who cheer/Girls who cheer)",2662,125,2018
"776","2018/2019","OK","Cross Country",2906,3406,2018
"777","2018/2019","OK","Football",2,13132,2018
"778","2018/2019","OK","Football",3,1656,2018
"779","2018/2019","OK","Golf",1197,1730,2018
"780","2018/2019","OK","Soccer",3414,3845,2018
"781","2018/2019","OK","Base/Softball",6499,0,2018
"782","2018/2019","OK","Base/Softball",4259,0,2018
"783","2018/2019","OK","Swimming & Diving",733,595,2018
"784","2018/2019","OK","Tennis",1341,1255,2018
"785","2018/2019","OK","Track and Field",5571,6728,2018
"786","2018/2019","OK","Volleyball",3152,0,2018
"787","2018/2019","OK","Wrestling",98,3844,2018
"788","2018/2019","OR","Base/Softball",9,5490,2018
"789","2018/2019","OR","Basketball",5824,7620,2018
"790","2018/2019","OR","Competitive Spirit* (Boys who cheer/Girls who cheer)",2402,258,2018
"791","2018/2019","OR","Cross Country",2569,4076,2018
"792","2018/2019","OR","Dance/Drill",1244,119,2018
"793","2018/2019","OR","Football",59,11140,2018
"794","2018/2019","OR","Football",1,166,2018
"795","2018/2019","OR","Football",4,740,2018
"796","2018/2019","OR","Golf",970,1464,2018
"797","2018/2019","OR","Soccer",5397,6595,2018
"798","2018/2019","OR","Base/Softball",4395,0,2018
"799","2018/2019","OR","Swimming & Diving",2790,2004,2018
"800","2018/2019","OR","Tennis",3079,2247,2018
"801","2018/2019","OR","Track and Field",7047,9359,2018
"802","2018/2019","OR","Volleyball",7087,0,2018
"803","2018/2019","OR","Wrestling",597,4481,2018
"804","2018/2019","PA","Basketball",20940,21570,2018
"805","2018/2019","PA","Bowling",1370,1470,2018
"806","2018/2019","PA","Competitive Spirit* (Boys who cheer/Girls who cheer)",4305,0,2018
"807","2018/2019","PA","Cross Country",11500,11440,2018
"808","2018/2019","PA","Ice/Field Hockey",9625,0,2018
"809","2018/2019","PA","Golf",2690,5150,2018
"810","2018/2019","PA","Gymnastics",210,0,2018
"811","2018/2019","PA","Lacrosse",7328,6688,2018
"812","2018/2019","PA","Riflery",400,510,2018
"813","2018/2019","PA","Soccer",18830,19845,2018
"814","2018/2019","PA","Base/Softball",19380,0,2018
"815","2018/2019","PA","Swimming & Diving",9840,9450,2018
"816","2018/2019","PA","Tennis",4620,4428,2018
"817","2018/2019","PA","Track and Field",2625,2580,2018
"818","2018/2019","PA","Track and Field",24400,24320,2018
"819","2018/2019","PA","Volleyball",10620,3636,2018
"820","2018/2019","PA","Water Polo",315,345,2018
"821","2018/2019","RI","Adapted Basketball",1199,1855,2018
"822","2018/2019","RI","Basketball",1199,1855,2018
"823","2018/2019","RI","Competitive Spirit* (Boys who cheer/Girls who cheer)",580,7,2018
"824","2018/2019","RI","Cross Country",793,999,2018
"825","2018/2019","RI","Ice/Field Hockey",649,0,2018
"826","2018/2019","RI","Football",23,2690,2018
"827","2018/2019","RI","Golf",130,395,2018
"828","2018/2019","RI","Gymnastics",237,0,2018
"829","2018/2019","RI","Ice/Field Hockey",194,799,2018
"830","2018/2019","RI","Lacrosse",1325,1235,2018
"831","2018/2019","RI","Soccer",1795,2151,2018
"832","2018/2019","RI","Base/Softball",1176,0,2018
"833","2018/2019","RI","Swimming & Diving",635,385,2018
"834","2018/2019","RI","Tennis",1023,790,2018
"835","2018/2019","RI","Track and Field",1311,1429,2018
"836","2018/2019","RI","Track and Field",1647,1673,2018
"837","2018/2019","RI","Unified Basketball",232,372,2018
"838","2018/2019","RI","Volleyball",1352,723,2018
"839","2018/2019","RI","Wrestling",32,825,2018
"840","2018/2019","SC","Basketball",4517,6740,2018
"841","2018/2019","SC","Competitive Spirit* (Boys who cheer/Girls who cheer)",2900,0,2018
"842","2018/2019","SC","Cross Country",2541,3550,2018
"843","2018/2019","SC","Golf",796,1541,2018
"844","2018/2019","SC","Lacrosse",1525,2041,2018
"845","2018/2019","SC","Soccer",5023,6218,2018
"846","2018/2019","SC","Base/Softball",4875,0,2018
"847","2018/2019","SC","Swimming & Diving",1472,1226,2018
"848","2018/2019","SC","Tennis",1989,1554,2018
"849","2018/2019","SC","Track and Field",6035,7927,2018
"850","2018/2019","SC","Volleyball",4974,0,2018
"851","2018/2019","SD","Basketball",2612,3460,2018
"852","2018/2019","SD","Competitive Spirit* (Boys who cheer/Girls who cheer)",683,0,2018
"853","2018/2019","SD","Cross Country",765,1037,2018
"854","2018/2019","SD","Dance",683,0,2018
"855","2018/2019","SD","Drill Team",132,0,2018
"856","2018/2019","SD","Football",8,3133,2018
"857","2018/2019","SD","Football",37,1864,2018
"858","2018/2019","SD","Golf",618,971,2018
"859","2018/2019","SD","Gymnastics",253,0,2018
"860","2018/2019","SD","Soccer",714,697,2018
"861","2018/2019","SD","Tennis",287,404,2018
"862","2018/2019","SD","Track and Field",2841,3489,2018
"863","2018/2019","SD","Volleyball",3411,0,2018
"864","2018/2019","SD","Wrestling",36,1583,2018
"865","2018/2019","TN","Base/Softball",5,8722,2018
"866","2018/2019","TN","Basketball",5978,8854,2018
"867","2018/2019","TN","Bowling",1199,1440,2018
"868","2018/2019","TN","Cross Country",3091,4066,2018
"869","2018/2019","TN","Football",23,20920,2018
"870","2018/2019","TN","Golf",953,2357,2018
"871","2018/2019","TN","Soccer",7113,8266,2018
"872","2018/2019","TN","Base/Softball",6138,0,2018
"873","2018/2019","TN","Tennis",3286,2441,2018
"874","2018/2019","TN","Track and Field",5968,7395,2018
"875","2018/2019","TN","Unified Track and Field",35,42,2018
"876","2018/2019","TN","Volleyball",6809,0,2018
